hdp_shardid,skclientkey,medid,medfulname
4,16339,5016523,BIOTIN (BIOTIN) 10000 mcg TAB
4,16339,5016470,DAPAGLIFLOZIN (FARXIGA) 5 mg TAB
4,16339,5016522,CHEWABLE MULTIVITAMIN (CHEWABLE MVI) TAB
4,16339,5016536,MEDIHONEY (MEDIHONEY) DRESSING
4,16339,5016535,POVIDONE-IODINE SWABSTICK (BETADINE) 10 % APPLIC
4,16339,5016537,MICONAZOLE (CRITIC-AID) (CRITIC AID CLEAR AF) 2 % OINT
4,16339,5016035,EMPAGLIFLOZIN (JARDIANCE) 25 mg TAB
4,16339,5016565,METHADONE HCL ORAL CONCENTRATE (METHADOSE) 35 mg/3.5 mL SOLUTION
4,16339,5015084,BUPROPION XL (WELLBUTRIN XL) 300 mg TAB
4,16339,5016566,BISOPROLOL (ZEBETA) 10 mg TAB
4,16339,5016268,VARENICLINE (CHANTIX) 0.5 mg TAB
4,16339,5015311,BUPROPION XL (WELLBUTRIN XL) 150 mg TAB
4,16339,5016585,MIRABEGRON ER (MYRBETRIQ ER) 50 mg TAB
4,16339,5016584,DIVALPROEX DR (DEPAKOTE DR) 125 mg CAP
4,16339,5014893,MIRABEGRON ER (MYRBETRIQ ER) 25 mg TAB
4,16339,5016596,GUANFACINE (TENEX) 1 mg TAB
4,16339,5015996,DAPAGLIFLOZIN (FARXIGA) 10 mg TAB
4,16339,5015512,ROSUVASTATIN (CRESTOR) 40 mg TAB
4,16339,5016613,SACUBITRIL/VALSARTAN (ENTRESTO) 49.51 mg TAB
4,16339,5015164,TORSEMIDE (DEMADEX) 10 mg TAB
4,16339,5016602,CLOBAZAM (ONFI) 5 mg/2 mL SUSPENSION
4,16339,5014840,FLUVOXAMINE 50 mg TAB
4,16339,5015384,PANTOPRAZOLE INJECTION (PROTONIX INJECTION) 40 mg VIAL
4,16339,5016627,HYDROMORPHONE (DILAUDID) 1 mg/0.5 mL SOLUTION
4,16339,5016628,LACOSAMIDE (VIMPAT) 250 mg/25 mL SOLUTION
4,16339,5016358,CANAGLIFLOZIN (INVOKANA) 100 mg TAB
4,16339,5016359,CANAGLIFLOZIN (INVOKANA) 300 mg TAB
4,16339,5015266,Doxycycline 50 mg CAP
4,16339,5016479,AMPHETAMINE SALTS IR (ADDERALL) 10 mg TAB
