clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey,medkey
10023,11649,2021-03-12 05:32:03.253,6.057300,7,2,510073
10023,3076,2021-03-12 05:32:03.253,1.000000,7,2,510072
10023,1748,2021-03-12 05:32:03.253,0.027300,7,2,510071
10023,12670,2021-03-12 05:32:03.253,0.623600,7,2,510070
10023,7089,2021-03-12 05:32:03.253,5.224000,7,2,510067
10023,T0841,2020-05-22 08:11:50.203,0.000000,7,2,510066
10023,2252,2021-03-12 05:32:03.253,8.468000,7,2,510062
10023,3370,2021-03-12 05:32:03.253,1.373600,7,2,510060
10023,5815,2020-05-22 08:11:50.203,3.224900,7,2,510059
10023,17226,2021-03-12 05:32:03.253,7.410000,7,2,510057
10023,3268,2020-05-22 08:11:50.203,0.050000,7,2,510055
10023,1130,2021-03-12 05:32:03.253,0.343700,7,2,510054
10023,4507,2021-03-12 05:32:03.253,2.590000,7,2,510052
10023,T0853,2020-05-22 08:11:50.203,0.000000,7,2,510050
10023,2490,2021-03-12 05:32:03.253,0.130000,7,2,510048
10023,5093,2021-03-12 05:32:03.253,941.151600,7,2,510046
10023,2989,2021-03-12 05:32:03.253,0.762000,7,2,510045
10023,3743,2020-05-22 08:11:50.203,12.500000,7,2,510044
10023,14353,2021-03-12 05:32:03.253,63.387000,7,2,510043
10023,6021,2021-03-12 05:32:03.253,0.546600,7,2,510077
10023,5427,2020-05-22 08:11:50.203,12.807000,7,2,510076
10023,A6720,2020-05-22 08:11:50.203,0.000000,7,2,510075
10023,3617,2021-03-12 05:32:03.253,6.948000,7,2,510074
10023,1882,2021-03-12 05:32:03.253,2.893500,7,2,509715
10023,1992,2021-03-12 05:32:03.253,8.120000,7,2,509714
10023,3162,2021-03-12 05:32:03.253,1.568000,7,2,509713
10023,16321,2021-03-12 05:32:03.253,0.296200,7,2,509710
10023,3973,2021-03-12 05:32:03.253,35.000000,7,2,509709
10023,3101,2021-03-12 05:32:03.253,1.095000,7,2,509707
10023,14408,2021-03-12 05:32:03.253,0.298600,7,2,509705
10023,17570,2021-03-12 05:32:03.253,0.710000,7,2,509702
10023,15773,2021-03-12 05:32:03.253,10.520000,7,2,509701
10023,3599,2020-05-22 08:11:50.203,1.353300,7,2,509698
10023,12558,2020-05-22 08:11:50.203,119.888000,7,2,509697
10023,3457,2020-05-22 08:11:50.203,0.100000,7,2,509696
10023,1090,2020-05-22 08:11:50.203,7.212000,7,2,509693
10023,6173,2020-05-22 08:11:50.203,3066.200000,7,2,509691
10023,3524,2021-03-12 05:32:03.253,86.920000,7,2,509690
10023,2307,2021-03-12 05:32:03.253,1.040000,7,2,509689
10023,7443,2021-03-12 05:32:03.253,8.030000,7,2,509688
