clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey
11923,10000021,2020-08-06 04:16:38.96,0.01079,6,2
11923,10000022,2020-08-06 04:16:38.96,0.1127,6,2
11923,10000027,2020-08-06 04:16:38.96,0.01429,6,2
11923,10000039,2020-08-06 04:16:38.96,8.97083,6,2
11923,10000040,2020-08-06 04:16:38.96,86.408,6,2
11923,10000050,2020-08-06 04:16:38.96,0.5488,6,2
11923,10000054,2020-08-06 04:16:38.96,0.02668,6,2
11923,10000060,2020-08-06 04:16:38.96,0.03779,6,2
11923,10000066,2020-08-06 04:16:38.96,0.01997,6,2
11923,10000072,2020-08-06 04:16:38.96,0.13083,6,2
11923,10000073,2020-08-06 04:16:38.96,0.45966,6,2
11923,10000074,2020-08-06 04:16:38.96,0.17676,6,2
11923,10000077,2020-08-06 04:16:38.96,0.0202,6,2
11923,10000083,2020-08-06 04:16:38.96,0.0,6,2
11923,10000092,2020-08-06 04:16:38.96,0.0779,6,2
11923,10000093,2020-08-06 04:16:38.96,0.0,6,2
11923,10000098,2020-08-06 04:16:38.96,3.02878,6,2
11923,10000100,2020-08-06 04:16:38.96,0.45555,6,2
11923,10000101,2020-08-06 04:16:38.96,26.3,6,2
11923,10000106,2020-08-06 04:16:38.96,1.24,6,2
11923,10000109,2020-08-06 04:16:38.96,0.0,6,2
11923,10000119,2020-08-06 04:16:38.96,42.395,6,2
11923,10000122,2020-08-06 04:16:38.96,0.6,6,2
11923,10000125,2020-08-06 04:16:38.96,0.75,6,2
11923,10000126,2020-08-06 04:16:38.96,0.61,6,2
11923,10000129,2020-08-06 04:16:38.96,0.33,6,2
11923,10000144,2020-08-06 04:16:38.96,0.0499,6,2
11923,10000146,2020-08-06 04:16:38.96,9.84933,6,2
11923,10000149,2020-08-06 04:16:38.96,0.12267,6,2
11923,10000150,2020-08-06 04:16:38.96,0.12267,6,2
11923,10000153,2020-08-06 04:16:38.96,0.07716,6,2
11923,10000154,2020-08-06 04:16:38.96,0.1098,6,2
11923,10000155,2020-08-06 04:16:38.96,0.3479,6,2
11923,10000238,2020-08-06 04:16:38.96,0.864,6,2
11923,10000239,2020-08-06 04:16:38.96,0.84774,6,2
11923,10000241,2020-08-06 04:16:38.96,0.14129,6,2
11923,10000242,2020-08-06 04:16:38.96,0.144,6,2
11923,10000254,2020-08-06 04:16:38.96,0.00951,6,2
11923,10000256,2020-08-06 04:16:38.96,0.00951,6,2
11923,10000260,2020-08-06 04:16:38.96,0.16673,6,2
11923,10000261,2020-08-06 04:16:38.96,1.1428,6,2
11923,10000271,2020-08-06 04:16:38.96,7.2422,6,2
11923,10000272,2020-08-06 04:16:38.96,0.00391,6,2
11923,10000274,2020-08-06 04:16:38.96,1031.36,6,2
