skclientkey,hdp_shardid,lastday_of_month,medid,dispensingdevicename,devicetypekey,meditemflag,device_naturalkey,isinactive,inventoryquantity,earliestnextexpirationdate,standardstockwithindispensingdeviceflag,max_par_level,min_par_level
13535,15,20200531,10737412,MURED,2,True,-2147440892,0,15,20210731,0,20,12
13535,15,20201031,32784,MURMSU,2,True,-2147440893,0,20,20220131,0,20,10
13535,15,20200331,01583,MURED,2,True,-2147440892,0,4,20220430,0,4,2
13535,15,20200229,17577,MURMSU,2,True,-2147440893,0,12,20210831,0,15,5
13535,15,20210430,2938445,MURMSU,2,True,-2147440893,0,10,20220430,0,4,2
13535,15,20210131,41587,MURMSU,2,True,-2147440893,0,20,20210228,0,20,10
13535,15,20201031,22170,MURED,2,True,-2147440892,0,1,20210831,0,3,1
13535,15,20201231,68521056,MUROR,1,True,-2147440891,0,10,20220830,0,15,9
13535,15,20200531,83110,MURED,2,True,-2147440892,0,2,20210930,0,2,1
13535,15,20210430,148024511,MURED,2,True,-2147440892,0,74,20210909,0,70,40
13535,15,20201130,82873096,MURED,2,True,-2147440892,0,36,20210228,0,40,30
13535,15,20200331,GAS02,MUROR,1,True,-2147440891,0,3,20240219,0,3,2
13535,15,20201231,00009,MURMSU,2,True,-2147440893,0,24,20220831,0,30,20
13535,15,20210430,3886587,MURORA1,4,True,-2147438156,0,7,20211201,0,12,48
13535,15,20200229,98824,MURMSU,2,True,-2147440893,0,18,20200328,0,20,10
13535,15,20201130,75444924,MURMSU,2,True,-2147440893,0,7,20201231,0,10,6
13535,15,20200531,30885,MURMSU,2,True,-2147440893,0,20,20210430,0,20,10
13535,15,20200331,00205,MURMSU,2,True,-2147440893,0,8,20210831,0,8,6
13535,15,20201130,2950037,MURED,2,True,-2147440892,0,12,20210531,0,20,10
13535,15,20200831,45264,MURMSU,2,True,-2147440893,0,29,20210131,0,30,20
13535,15,20200531,20829,MURED,2,True,-2147440892,0,13,20200831,0,10,5
13535,15,20210131,98413,MURMSU,2,True,-2147440893,0,13,20220228,0,10,7
13535,15,20210228,36868,MURMSU,2,True,-2147440893,0,16,20211031,0,20,10
13535,15,20200630,17274,MUREMS,1,True,-2147440890,0,14,20200630,1,20,10
13535,15,20200731,98563,MURMSU,2,True,-2147440893,0,33,20220831,0,40,30
13535,15,20200430,15259,MURED,2,True,-2147440892,0,3,20200731,0,3,2
13535,15,20201231,17125,MURMSU,2,True,-2147440893,0,9,20220131,0,9,5
13535,15,20200229,98809,MURED,2,True,-2147440892,0,3,20210331,0,3,2
13535,15,20201130,43263,MURED,2,True,-2147440892,0,24,20210331,0,30,20
13535,15,20200831,98311,MURMSU,2,True,-2147440893,0,6,20200831,0,5,4
13535,15,20200831,53787985,MURED,2,True,-2147440892,0,4,20200912,0,4,3
13535,15,20200531,2947610,MURMSU,2,True,-2147440893,0,17,20200930,0,20,16
13535,15,20201130,61295520,MURMSU,2,True,-2147440893,0,34,20220831,0,40,20
13535,15,20201231,02567,MURMSU,2,True,-2147440893,0,26,20210531,0,40,15
13535,15,20200630,45046,MUROR,1,True,-2147440891,0,2,20201130,0,2,1
13535,15,20200229,20351,MURED,2,True,-2147440892,0,6,20200531,0,6,3
13535,15,20201231,NC010101,MURORA2,4,True,-2147438155,0,2,20210730,0,2,1
13535,15,20210430,03780,MUROR,1,True,-2147440891,0,2,20210630,0,3,1
13535,15,20200229,07452,MURED,2,True,-2147440892,0,22,20200831,0,30,20
13535,15,20201231,290311753,MURMSU,2,True,-2147440893,0,10,20210831,0,12,8
13535,15,20200229,NC00123,MURED,2,False,-2147440892,0,1,NULL,0,2,1
13535,15,20201031,32400,MURMSU,2,True,-2147440893,0,8,20210331,0,4,2
13535,15,20200930,20829,MURED,2,True,-2147440892,0,8,20210430,0,10,5
13535,15,20200430,62766345,MURED,2,True,-2147440892,0,9,20230531,0,10,8
13535,15,20210228,25724,MURMSU,2,True,-2147440893,0,7,20210830,0,10,6
13535,15,20201031,2944107,MURORA1,4,True,-2147438156,0,1,20210630,0,1,0
13535,15,20201031,23324,MURED,2,True,-2147440892,0,95,20201110,0,100,50
13535,15,20200930,51953,MUROR,1,True,-2147440891,0,19,20210531,0,20,10
13535,15,20200731,33136,MURMSU,2,True,-2147440893,0,2,20201116,0,3,1
13535,15,20200229,16757,MURED,2,True,-2147440892,0,19,20201003,0,20,9
13535,15,20210430,2948569,MURMSU,2,True,-2147440893,0,10,20220831,0,10,7
13535,15,20200531,90138,MUREMS,1,True,-2147440890,0,10,20220228,1,10,5
13535,15,20210331,00036,MURED,2,True,-2147440892,0,5,20211027,0,5,3
13535,15,20200229,97608257,MURMSU,2,True,-2147440893,0,19,20210630,1,20,10
13535,15,20201231,98783,MURED,2,True,-2147440892,0,21,20211116,0,20,10
13535,15,20200630,98730,MURORA2,4,True,-2147438155,0,7,20201130,0,10,7
13535,15,20210430,40281,MURED,2,True,-2147440892,0,30,20210831,0,30,25
13535,15,20200630,06106,MURMSU,2,True,-2147440893,0,26,20210831,0,30,20
13535,15,20200831,07824,MURED,2,True,-2147440892,0,9,20210430,0,10,6
13535,15,20201231,6596018,MURMSU,2,True,-2147440893,0,6,20210630,0,6,4
13535,15,20210131,157203248,MURED,2,True,-2147440892,0,4,20220531,0,4,2
13535,15,20200331,106142977,MURMSU,2,True,-2147440893,0,14,20201130,0,20,10
13535,15,20210228,230746667,MURMSU,2,True,-2147440893,0,0,20210731,0,2,1
13535,15,20200531,27662601,MURED,2,True,-2147440892,0,6,20210331,0,10,5
