itemtransactionkey,skclientkey,itemtransactionrootkey,transactionsessionkey,itemtransactiontypekey,txtimekey,itemrootkey,itemkey,medkey,meditemrootkey,meditemkey,medfullname,device_naturalkey,dispensingdevicekey,storagespacerootkey,storagespacekey,storagespaceitemrootkey,storagespaceitemkey,storagespaceshortname,storagespaceabbreviatedname,transactionlocaldatetime,cancelflag,startstoragespaceinventoryquantity,endstoragespaceinventoryquantity,estransactiontypekey,legacytransactiontypekey,ismeddeviceexclude,ismedexclude,isdeviceexclude,transactionquantity,actualbegincount,hdp_shardid,medid,dispensingdevicename
-9223372033302349011,13535,1404281122,-1159800459,-2147445089,20210127,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147438156,-2146016096,-2125719861,-2116025517,-2118752465,-2103519945,OR1 Drw 2.2-Pkt 2,OR1 2.2-2,2021-01-27 07:46:13.0,False,2.0000,0.0000,13,13,False,False,False,2.000000000000000000,2.000000000000000000,15,33580,MURORA1
-9223372033319485419,13535,1387186114,-1164333329,-2147445104,20201230,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440892,-2145981112,-2127103406,-2118103543,-2120820126,-2106481563,ED_TOWER 1 Dr 4-Pkt 9,ED_TOWER 1 4-9,2020-12-30 13:23:29.0,False,5.0000,3.0000,502,502,False,False,False,2.000000000000000000,5.000000000000000000,15,33580,MURED
-9223372033244019479,13535,1462452854,-1144295352,-2147445089,20210429,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147437246,-2145981413,-2125248734,-2114996324,-2116366721,-2100062005,PACU_TWR Dr 1-Pkt 2,PACU_TWR 1-2,2021-04-29 11:41:41.0,False,2.0000,1.0000,13,13,False,False,False,1.000000000000000000,2.000000000000000000,15,33580,MURPACU
-9223372033302349062,13535,1404281079,-1159800466,-2147445089,20210127,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147438155,-2146016095,-2125719408,-2116025414,-2118752464,-2103526529,OR2 Drw 2.2-Pkt 2,OR2 2.2-2,2021-01-27 07:40:35.0,False,2.0000,0.0000,13,13,False,False,False,2.000000000000000000,2.000000000000000000,15,33580,MURORA2
-9223372033416246791,13535,1290593484,-1190192906,-2147445089,20200902,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440892,-2146014663,-2127103406,-2118103543,-2120820126,-2106481563,ED_TOWER 1 Dr 4-Pkt 9,ED_TOWER 1 4-9,2020-09-02 09:29:24.0,False,5.0000,4.0000,13,13,False,False,False,1.000000000000000000,5.000000000000000000,15,33580,MURED
-9223372033305866268,13535,1400772414,-1160722103,-2147445089,20210121,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440890,-2146016092,-2127104157,-2118104427,-2122538785,-2108428058,EMS_TOWER Dr 3-Pkt 2,EMS_TOWER 3-2,2021-01-21 10:51:23.0,False,10.0000,9.0000,13,13,False,False,False,1.000000000000000000,10.000000000000000000,15,33580,MUREMS
-9223372033244019898,13535,1462452436,-1144295518,-2147445089,20210429,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440890,-2146016092,-2127104157,-2118104427,-2122538785,-2098045263,EMS_TOWER Dr 3-Pkt 2,EMS_TOWER 3-2,2021-04-29 08:56:25.0,False,18.0000,11.0000,13,13,False,False,False,7.000000000000000000,18.000000000000000000,15,33580,MUREMS
-9223372033489354951,13535,1217642738,-1209764890,-2147445104,20200402,-2140168817,-2136406277,-2113999130,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440892,-2146017727,-2127103406,-2118103543,-2120820126,-2106481563,ED_TOWER 1 Dr 4-Pkt 9,ED_TOWER 1 4-9,2020-04-02 13:56:58.0,False,4.0000,3.0000,502,502,False,False,False,1.000000000000000000,4.000000000000000000,15,33580,MURED
-9223372033256803689,13535,1449701261,-1147713011,-2147445104,20210409,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440892,-2145970039,-2127103406,-2118103543,-2120820126,-2106481563,ED_TOWER 1 Dr 4-Pkt 9,ED_TOWER 1 4-9,2021-04-09 09:40:29.0,False,4.0000,3.0000,502,502,False,False,False,1.000000000000000000,4.000000000000000000,15,33580,MURED
-9223372033318908176,13535,1387761942,-1164182742,-2147445089,20201231,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147437246,-2145981413,-2125248734,-2114996324,-2116366721,-2100062005,PACU_TWR Dr 1-Pkt 2,PACU_TWR 1-2,2020-12-31 10:12:24.0,False,2.0000,1.0000,13,13,False,False,False,1.000000000000000000,2.000000000000000000,15,33580,MURPACU
