hdp_shardid,clientkey,medkey,medid,devicename,device_naturalkey,iscontrolledmed,isactive,ismedexcluded,isshortageexcluded,year_month,avgdailyusage30,usage_count30,minusagedatekey,maxusagedatekey,number_of_activedays
15,13535,144019,98320,MURED,-2147440892,False,True,False,False,202105.0,1.100000,27,20210501,20210531,21
15,13535,143993,90341,MUROR,-2147440891,True,True,False,False,202005.0,0.000000,0,20200505,20200514,2
15,13535,144016,98317,MURMSU,-2147440893,False,True,False,False,202009.0,0.900000,27,20200901,20200929,14
15,13535,143976,81349358,MURED,-2147440892,False,True,False,False,202011.0,0.166667,5,20201108,20201124,5
15,13535,143673,34802,MURMSU,-2147440893,False,True,False,False,202102.0,2.433333,57,20210201,20210228,22
15,13535,143231,23349,MURED,-2147440892,False,True,False,False,202010.0,0.166667,2,20201003,20201030,3
15,13535,144044,98623,MURED,-2147440892,False,True,False,False,202105.0,0.766667,23,20210503,20210531,17
15,13535,143667,34730,MURED,-2147440892,False,True,False,False,202005.0,0.000000,0,20200506,20200506,1
15,13535,143385,2939186,MURMSU,-2147440893,False,True,False,False,202102.0,0.033333,1,20210224,20210225,2
15,13535,143946,79290567,MUROR,-2147440891,False,True,False,False,202012.0,0.033333,1,20201208,20201218,2
15,13535,143709,3886587,MUROR,-2147440891,True,True,False,False,202004.0,0.000000,0,20200421,20200421,1
15,13535,142877,00421,MURED,-2147440892,False,True,False,False,202003.0,0.100000,3,20200303,20200318,4
15,13535,143256,24221,MURMSU,-2147440893,True,True,False,False,202009.0,1.266667,19,20200907,20200930,10
15,13535,142937,05998,MURORA1,-2147438156,False,True,False,False,202002.0,0.266667,4,20200205,20200228,5
15,13535,143949,7945981,MURMSU,-2147440893,False,True,False,False,202009.0,0.433333,13,20200901,20200930,11
15,13535,143962,7987540,MURMSU,-2147440893,False,True,False,False,202010.0,1.000000,22,20201006,20201026,13
15,13535,144055,98730,MURMSU,-2147440893,False,True,False,False,202007.0,0.166667,5,20200704,20200709,5
15,13535,143744,40920,MURED,-2147440892,False,True,False,False,202009.0,0.400000,12,20200904,20200925,11
15,13535,259777,85620,MURMSU,-2147440893,False,True,False,False,202012.0,0.100000,1,20201207,20201208,2
15,13535,142897,01752,MURMSU,-2147440893,True,True,False,False,202103.0,0.000000,0,20210305,20210319,2
15,13535,143691,3770337,MURMSU,-2147440893,False,True,False,False,202009.0,0.333333,7,20200909,20200918,7
15,13535,144026,98362,MUREMS,-2147440890,False,True,False,False,202008.0,0.133333,4,20200820,20200831,4
15,13535,142855,00214,MURMSU,-2147440893,False,True,False,False,202104.0,3.933333,116,20210401,20210430,28
15,13535,143774,4323028,MURED,-2147440892,False,True,False,False,202101.0,0.066667,2,20210125,20210129,4
15,13535,143102,159618156,MURED,-2147440892,False,True,False,False,202002.0,0.000000,0,20200205,20200205,1
15,13535,143056,140904693,MURMSU,-2147440893,True,True,False,False,202007.0,0.000000,0,20200707,20200713,3
15,13535,143114,16353,MURED,-2147440892,False,True,False,False,202102.0,0.033333,1,20210211,20210224,2
15,13535,143056,140904693,MURPACU,-2147437246,True,True,False,False,202102.0,0.266667,5,20210202,20210226,9
15,13535,143108,16145,MURMSU,-2147440893,False,True,False,False,202011.0,0.500000,14,20201101,20201130,13
15,13535,143867,53220,MURED,-2147440892,False,True,False,False,202101.0,0.466667,14,20210103,20210131,12
15,13535,143991,89048835,MURPACU,-2147437246,False,True,False,False,202011.0,0.000000,0,20201116,20201117,2
15,13535,143946,79290567,MURED,-2147440892,False,True,False,False,202105.0,0.600000,18,20210501,20210529,15
15,13535,143078,150134760,MURMSU,-2147440893,False,True,False,False,202103.0,0.033333,1,20210301,20210319,4
15,13535,144126,NC00027,MURMSU,-2147440893,True,True,False,False,202103.0,0.000000,0,20210305,20210319,3
15,13535,143957,7948639,MURMSU,-2147440893,False,True,False,False,202104.0,1.166667,35,20210405,20210426,18
15,13535,142944,06246,MURMSU,-2147440893,False,True,False,False,202005.0,0.000000,0,20200505,20200506,2
15,13535,143735,39107,MUREMS,-2147440890,False,True,False,False,202011.0,0.500000,5,20201105,20201123,6
