clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey
13535,00001,2021-08-10 00:11:16.423,0.37789,15,2
13535,00003,2021-08-10 00:11:16.423,4.338,15,2
13535,00004,2021-08-10 00:11:16.423,0.2467,15,2
13535,00009,2021-08-10 00:11:16.423,0.11319,15,2
13535,00014,2021-08-10 00:11:16.423,62.87576,15,2
13535,00024,2021-08-10 00:11:16.423,0.35717,15,2
13535,00030,2021-08-10 00:11:16.423,0.04701,15,2
13535,00036,2021-08-10 00:11:16.423,0.78783,15,2
13535,00040,2021-08-10 00:11:16.423,0.23941,15,2
13535,00042,2021-08-10 00:11:16.423,0.11351,15,2
13535,00045,2021-08-10 00:11:16.423,0.494,15,2
13535,00051,2021-08-10 00:11:16.423,286.81,15,2
13535,00052,2021-08-10 00:11:16.423,0.37833,15,2
13535,00063,2021-08-10 00:11:16.423,0.15378,15,2
13535,00067,2019-08-28 03:43:38.49,1.53267,15,2
13535,00077,2021-05-05 00:00:59.177,11.13704,15,2
13535,00079,2021-08-10 00:11:16.423,4.303,15,2
13535,00082,2021-08-10 00:11:16.423,6.424,15,2
13535,00092,2021-08-10 00:11:16.423,8.7365,15,2
13535,00093,2021-08-10 00:11:16.423,6.7955,15,2
13535,00104,2021-08-10 00:11:16.423,18.4935,15,2
13535,00105,2021-08-10 00:11:16.423,10.0735,15,2
13535,00106,2021-08-10 00:11:16.423,4.622,15,2
13535,00110,2021-08-10 00:11:16.423,6.175,15,2
13535,00111,2021-08-10 00:11:16.423,9.9452,15,2
13535,00116,2021-08-10 00:11:16.423,7.41,15,2
13535,00117,2021-08-10 00:11:16.423,6.759,15,2
13535,00122,2020-04-17 03:56:50.08,17.77002,15,2
13535,00123,2021-08-10 00:11:16.423,0.14,15,2
13535,00124,2021-05-05 00:00:59.177,8.2955,15,2
13535,00125,2021-05-05 00:00:59.177,10.945,15,2
13535,00127,2021-08-10 00:11:16.423,19.068,15,2
13535,00129,2021-08-10 00:11:16.423,0.33222,15,2
13535,00130,2021-08-10 00:11:16.423,2.1429,15,2
13535,00135,2021-05-05 00:00:59.177,0.4124,15,2
13535,00139,2021-08-10 00:11:16.423,0.17718,15,2
13535,00141,2021-08-10 00:11:16.423,1.28633,15,2
13535,00150,2021-05-05 00:00:59.177,8.4,15,2
13535,00152,2021-08-10 00:11:16.423,0.13396,15,2
13535,00153,2021-08-10 00:11:16.423,2.534,15,2
13535,00154,2021-08-10 00:11:16.423,0.11809,15,2
13535,00163,2021-08-10 00:11:16.423,8.142,15,2
13535,00196,2021-08-10 00:11:16.423,3.097,15,2
13535,00202,2021-08-10 00:11:16.423,0.38133,15,2
13535,00205,2021-08-10 00:11:16.423,1.96,15,2
13535,00209,2021-08-10 00:11:16.423,10.6704,15,2
13535,00214,2021-08-10 00:11:16.423,3.027,15,2
13535,00217,2021-08-10 00:11:16.423,7.751,15,2
13535,00218,2021-08-10 00:11:16.423,1.7552,15,2
13535,00219,2021-08-10 00:11:16.423,0.62851,15,2
13535,00231,2021-08-10 00:11:16.423,4.504,15,2
13535,00250,2021-08-10 00:11:16.423,0.20789,15,2
13535,00262,2021-08-10 00:11:16.423,4.812,15,2
13535,00266,2021-08-10 00:11:16.423,2.155,15,2
13535,00270,2021-08-10 00:11:16.423,0.20471,15,2
13535,00275,2021-08-10 00:11:16.423,3.4329,15,2
13535,00289,2021-05-05 00:00:59.177,5.14533,15,2
13535,00303,2021-08-10 00:11:16.423,4.9032,15,2
13535,00305,2021-08-10 00:11:16.423,4.3245,15,2
13535,00314,2021-08-10 00:11:16.423,3.23994,15,2
13535,00315,2021-08-10 00:11:16.423,3.12,15,2
13535,00316,2021-08-10 00:11:16.423,5.18,15,2
13535,00319,2021-08-10 00:11:16.423,5.504,15,2
13535,00320,2021-08-10 00:11:16.423,3.435,15,2
13535,00324,2021-05-05 00:00:59.177,1.31987,15,2
13535,00373,2021-08-10 00:11:16.423,0.13036,15,2
13535,00398,2021-08-10 00:11:16.423,0.57329,15,2
13535,00415,2021-08-10 00:11:16.423,29.056,15,2
13535,00421,2021-08-10 00:11:16.423,49.03075,15,2
13535,00425,2021-08-10 00:11:16.423,31.33071,15,2
13535,00435,2021-08-10 00:11:16.423,4.678,15,2
13535,00436,2021-08-10 00:11:16.423,7.777,15,2
13535,00500,2021-08-10 00:11:16.423,3.2538,15,2
13535,00524,2021-08-10 00:11:16.423,1.89,15,2
13535,00711,2021-08-10 00:11:16.423,0.07123,15,2
13535,00745,2021-08-10 00:11:16.423,0.08963,15,2
13535,00826,2021-08-10 00:11:16.423,0.3065,15,2
13535,00883,2021-05-05 00:00:59.177,224.112,15,2
13535,01013,2021-08-10 00:11:16.423,0.10251,15,2
13535,01015,2021-08-10 00:11:16.423,1.77033,15,2
13535,01017,2021-05-05 00:00:59.177,23.5,15,2
13535,01030,2020-04-17 03:56:50.08,6.15,15,2
13535,01249,2021-08-10 00:11:16.423,19.578,15,2
13535,01433,2021-08-10 00:11:16.423,31.78,15,2
13535,01448,2021-08-10 00:11:16.423,5.45548,15,2
13535,01556,2021-08-10 00:11:16.423,0.7501,15,2
13535,01583,2021-08-10 00:11:16.423,1.326,15,2
13535,01747,2021-08-10 00:11:16.423,4.1388,15,2
13535,01752,2021-08-10 00:11:16.423,5.321,15,2
13535,01848,2021-05-05 00:00:59.177,27.45844,15,2
13535,01851,2021-05-05 00:00:59.177,3.7625,15,2
