hdp_shardid,skclientkey,device_naturalkey,dispensingdevicename
13,12474,-2147461500,UBC-EDBL
13,12474,-2147461501,ECHOBL
13,12474,-2147461502,ENDOUS
13,12474,-2147461503,LDORCORE
13,12474,-2147461504,ANGIO
13,12474,-2147461505,ANES-BL
13,12474,-2147461506,UBC-4AB2
13,12474,-2147461507,2EIRPREP
13,12474,-2147461508,2ESC
13,12474,-2147461509, 
13,12474,-2147438823,UBC-2DINP2
13,12474,-2147438610,INFUSIONBL
13,12474,-2147439110,UBC-4E2
13,12474,-2147439175,MGPAIN290
13,12474,-2147439176,UBC-1H2
13,12474,-2147439184,UBC-4E
13,12474,-2147444642,NMENDO
13,12474,-2147461468,UBC-1G2
13,12474,-2147461469,UBC-1G
13,12474,-2147461470,UBC-1E2
13,12474,-2147461471,UBC-1E
13,12474,-2147461472,UBC-1D2
13,12474,-2147461473,UBC-1D
13,12474,-2147461474,SOHLTHPAV3
13,12474,-2147461475,SOHLTHPAV2
13,12474,-2147461476,SOHLTHPAV
13,12474,-2147461477,PACU-BL
13,12474,-2147461478,OR2
13,12474,-2147461479,OR
13,12474,-2147461480,NUCMEDBL
13,12474,-2147461481,NEPHRO
13,12474,-2147461482,MRIBL
13,12474,-2147461483,LDPOSTOP
13,12474,-2147461484,LDPACU
13,12474,-2147461485,EPPACU
13,12474,-2147461486,EPOR
13,12474,-2147461487,ENDOLKDR9
13,12474,-2147461488,ENDOLKDR8
13,12474,-2147461489,ENDOLKDR7
13,12474,-2147461490,ENDOLKDR6
13,12474,-2147461491,ENDOLKDR5
13,12474,-2147461492,ENDOLKDR4
13,12474,-2147461493,ENDOLKDR3
13,12474,-2147461494,ENDOLKDR2
13,12474,-2147461495,ENDOLKDR10
13,12474,-2147461496,ENDOLKDR1
13,12474,-2147461497,ENDOLAKEDR
13,12474,-2147461498,FOREMOSTIR
13,12474,-2147461499,UBC-EDBL2
13,12474,-2147446680,SOHLTHPAV NEW
13,12474,-2147447966,MRIEVERGRN
13,12474,-2147451787,ENDOBL3
13,12474,-2147451788,ENDOBL1
13,12474,-2147451789,ENDOBL2
13,12474,-2147451790,ENDO-BL
13,12474,-2147453587,Pyxis Link
13,12474,-2147461443,UBC-4D2
13,12474,-2147461444,LDPEDSPACU
13,12474,-2147461445,LDOR5
13,12474,-2147461446,LDOR7
13,12474,-2147461447,LDOR8
13,12474,-2147461448,EPSURG
13,12474,-2147461449,LDPACU
13,12474,-2147461450,BIOID2
13,12474,-2147461451,BIOID
13,12474,-2147461452,UBC-4H2
13,12474,-2147461453,UBC-4H
13,12474,-2147461454,UBC-4G2
13,12474,-2147461455,UBC-4G
13,12474,-2147461456,UBC-4D
13,12474,-2147461457,UBC-2DINP
13,12474,-2147461458,UBC-4AB
13,12474,-2147461459,UBC-3H2
13,12474,-2147461460,UBC-3H
13,12474,-2147461461,UBC-3G2
13,12474,-2147461462,UBC-3G
13,12474,-2147461463,UBC-3E2
13,12474,-2147461464,UBC-3E
13,12474,-2147461465,UBC-3D2
13,12474,-2147461466,UBC-3D
13,12474,-2147461467,UBC-1H
7,10023,-2147457945,ZZK08ICU
7,10023,-2147457944,K13
7,10023,-2147457943,K04
7,10023,-2147457942,A05ANESWKRMGAS
7,10023,-2147457941,A05RX
7,10023,-2147457940,T04PRO14
7,10023,-2147457939,A07SWA
7,10023,-2147457938,K06
7,10023,-2147457937,A08N
7,10023,-2147457936,A08SE
7,10023,-2147457935,A08SW
7,10023,-2147457934,ZZT01BRENNAN
7,10023,-2147457933,K08S
7,10023,-2147457932,K07PDIA
7,10023,-2147457931,T08LDPREP
7,10023,-2147457930,T08LDTRIAG
7,10023,-2147457929,T08LDOR
7,10023,-2147457928,T07PACU
7,10023,-2147457927,T08NICUB
7,10023,-2147457926,T08NICUC
7,10023,-2147457925,T08LD
7,10023,-2147457924,T14SW
7,10023,-2147457923,T14NW
7,10023,-2147457922,T14NE
