,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
0,11923,10000092,-2147438089,14,11,2,14,4.0,8.0,6,3.0,10,0,0.0,10,333.0,0.0,4.966117535894614,4.0,8.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
1,11923,10000101,-2147438069,13,8,3,3,1.0,2.0,1,2.5,4,1,0.0,4,90.0,0.0,1.6578348699958094,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,11923,10000109,-2147438069,12,5,3,6,3.0,6.0,4,3.5,10,1,0.0,9,61.0,0.0,3.0318483862857843,3.0,6.0,4.0,16.0,9.0,3.0,4.0,0.0,0.0,0.0
3,11923,10000128a,-2147438135,6,4,2,24,2.0,13.0,7,2.0,5,0,0.0,10,90.0,0.0,3.3938289933791106,3.0,13.0,4.0,16.0,9.0,3.0,4.0,0.0,0.0,0.0
4,11923,10000153,-2147438130,12,7,2,11,1.0,2.0,1,5.0,10,0,6.0,13,274.0,0.0,4.968592134855933,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
5,11923,10000239,-2147438139,13,10,2,4,1.0,4.0,2,3.0,6,1,0.0,6,274.0,0.0,3.5942096461520014,3.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
6,11923,10000309,-2147438125,7,6,2,13,2.0,10.0,6,1.0,10,0,0.0,12,257.0,0.0,4.886916767681547,4.0,10.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
7,11923,10000309,-2147438107,5,4,2,11,2.0,4.0,3,1.0,10,0,10.0,12,288.0,0.0,4.93483574263912,4.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
8,11923,10000309,-2147438105,7,6,2,12,2.0,2.0,2,1.0,20,1,26.0,8,300.0,0.0,6.366908401215402,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
9,11923,10000410,-2147438072,8,5,2,8,2.0,2.0,2,3.0,10,0,63.0,8,183.0,0.0,4.276314562689952,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
