,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
0,13535,00040,-2147440893,14,14,2,8,4.0,4.0,4,0.0
1,13535,00082,-2147440892,6,6,2,6,6.0,6.0,6,0.0
2,13535,00092,-2147440891,13,13,2,6,1.0,1.0,1,0.0
3,13535,00105,-2147440891,14,7,2,10,10.0,10.0,10,7.0
4,13535,00117,-2147440893,12,9,4,2,1.0,1.0,1,1.0
5,13535,00117,-2147440892,10,10,2,6,1.0,1.0,1,0.0
6,13535,00139,-2147440891,12,4,3,14,4.0,4.0,4,4.0
7,13535,00141,-2147440893,6,6,2,17,17.0,17.0,17,0.0
8,13535,00154,-2147440893,11,9,3,23,2.0,15.0,6,1.0
9,13535,00154,-2147440892,9,9,2,25,25.0,25.0,25,0.0
10,13535,00163,-2147440892,4,3,4,5,2.0,6.0,4,0.3333333333333333
11,13535,00163,-2147440891,12,3,2,3,2.0,2.0,2,9.0
12,13535,00217,-2147440892,14,7,14,3,1.0,3.0,1,0.5384615384615384
13,13535,00218,-2147440892,9,7,3,3,1.0,3.0,2,1.0
14,13535,00262,-2147440892,7,7,2,2,1.0,1.0,1,0.0
15,13535,00305,-2147440891,9,9,2,4,4.0,4.0,4,0.0
16,13535,00314,-2147440891,14,5,3,2,1.0,1.0,1,4.5
17,13535,00316,-2147440892,12,12,2,6,3.0,3.0,3,0.0
18,13535,00421,-2147440893,10,10,2,10,1.0,1.0,1,0.0
19,13535,00425,-2147440893,7,4,3,6,3.0,5.0,4,1.5
20,13535,00435,-2147440892,12,12,2,1,2.0,2.0,2,0.0
21,13535,00436,-2147440893,10,10,2,14,4.0,4.0,4,0.0
22,13535,00711,-2147440893,10,10,2,21,21.0,21.0,21,0.0
23,13535,00745,-2147440892,5,5,2,18,8.0,8.0,8,0.0
24,13535,00826,-2147440892,12,10,2,13,1.0,10.0,5,2.0
25,13535,01249,-2147440892,14,14,2,10,4.0,4.0,4,0.0
26,13535,01433,-2147440891,14,9,2,5,1.0,5.0,3,5.0
27,13535,01448,-2147440893,14,9,4,11,4.0,11.0,7,1.6666666666666667
28,13535,01448,-2147440892,10,10,2,5,2.0,2.0,2,0.0
29,13535,01448,-2147440890,14,9,4,10,8.0,9.0,8,1.6666666666666667
30,13535,02052,-2147440893,14,14,2,8,1.0,1.0,1,0.0
31,13535,02097,-2147440893,12,12,2,14,14.0,14.0,14,0.0
32,13535,02105,-2147440893,12,12,2,14,14.0,14.0,14,0.0
33,13535,02305,-2147440893,7,7,2,19,16.0,16.0,16,0.0
34,13535,02567,-2147440893,9,9,2,22,12.0,12.0,12,0.0
35,13535,02567,-2147440892,9,9,2,17,16.0,16.0,16,0.0
36,13535,02889,-2147440893,14,4,2,17,14.0,18.0,16,10.0
37,13535,02889,-2147440892,14,4,2,20,20.0,20.0,20,10.0
38,13535,03142,-2147440893,9,3,2,10,10.0,10.0,10,6.0
39,13535,03547,-2147440893,10,10,2,10,10.0,10.0,10,0.0
40,13535,03780,-2147440890,11,6,4,11,4.0,4.0,4,1.6666666666666667
41,13535,04518,-2147440893,9,9,2,22,19.0,19.0,19,0.0
42,13535,04518,-2147440892,9,9,2,19,13.0,13.0,13,0.0
43,13535,05501,-2147440893,10,10,2,19,19.0,19.0,19,0.0
