,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
0,13535,00040,-2147440893,14,14,2,8,4.0,4.0,4,0.0,20,0,26.0,11,486.0,0.0,2.966813227002506,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
1,13535,00040,-2147440893,14,14,2,8,4.0,4.0,4,0.0,20,0,26.0,11,486.0,0.0,2.966813227002506,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
2,13535,00082,-2147440892,6,6,2,6,6.0,6.0,6,0.0,10,0,6.0,7,60.0,10.0,7.394375949980593,6.0,6.0,3.0,49.0,16.0,4.0,7.0,0.0,100.0,10.0
3,13535,00082,-2147440892,6,6,2,6,6.0,6.0,6,0.0,10,0,6.0,7,60.0,10.0,7.394375949980593,6.0,6.0,3.0,49.0,16.0,4.0,7.0,0.0,100.0,10.0
4,13535,00092,-2147440891,13,13,2,6,1.0,1.0,1,0.0,6,0,6.0,4,120.0,0.0,6.929398664245813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,13535,00092,-2147440891,13,13,2,6,1.0,1.0,1,0.0,6,0,6.0,4,120.0,0.0,6.929398664245813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,13535,00105,-2147440891,14,7,2,10,10.0,10.0,10,7.0,10,0,0.0,10,243.0,0.0,5.927113605382682,5.0,10.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
7,13535,00117,-2147440893,12,9,4,2,1.0,1.0,1,1.0,2,1,3.0,2,152.0,0.0,1.4240937193194787,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,13535,00117,-2147440893,12,9,4,2,1.0,1.0,1,1.0,2,1,3.0,2,152.0,0.0,1.4240937193194787,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,13535,00117,-2147440892,10,10,2,6,1.0,1.0,1,0.0,6,0,6.0,6,182.0,0.0,6.470457763071245,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,13535,00117,-2147440892,10,10,2,6,1.0,1.0,1,0.0,6,0,6.0,6,182.0,0.0,6.470457763071245,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11,13535,00139,-2147440891,12,4,3,14,4.0,4.0,4,4.0,10,0,0.0,13,121.0,0.0,8.673146289744535,4.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
12,13535,00141,-2147440893,6,6,2,17,17.0,17.0,17,0.0,20,0,3.0,17,305.0,0.0,5.105560732229959,5.0,17.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
13,13535,00141,-2147440893,6,6,2,17,17.0,17.0,17,0.0,20,0,3.0,17,305.0,0.0,5.105560732229959,5.0,17.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
14,13535,00154,-2147440893,11,9,3,23,2.0,15.0,6,1.0,16,0,0.0,17,90.0,0.0,9.84257880346285,9.0,15.0,7.0,49.0,81.0,9.0,7.0,9.0,81.0,9.0
15,13535,00154,-2147440892,9,9,2,25,25.0,25.0,25,0.0,26,0,3.0,26,90.0,0.0,7.185519636982944,7.0,25.0,11.0,121.0,49.0,7.0,11.0,0.0,0.0,0.0
16,13535,00154,-2147440892,9,9,2,25,25.0,25.0,25,0.0,26,0,3.0,26,90.0,0.0,7.185519636982944,7.0,25.0,11.0,121.0,49.0,7.0,11.0,0.0,0.0,0.0
17,13535,00163,-2147440892,15,4,4,5,2.0,6.0,4,3.6666666666666665,6,0,23.0,6,274.0,0.0,1.060380252088852,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,13535,00163,-2147440892,15,4,4,5,2.0,6.0,4,3.6666666666666665,6,0,23.0,6,274.0,0.0,1.060380252088852,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,13535,00217,-2147440892,14,7,14,3,1.0,3.0,1,0.5384615384615384,12,0,6.0,12,973.0,0.0,0.8706953109506289,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,13535,00217,-2147440892,14,7,14,3,1.0,3.0,1,0.5384615384615384,12,0,6.0,12,973.0,0.0,0.8706953109506289,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,13535,00218,-2147440892,9,7,3,3,1.0,3.0,2,1.0,3,0,0.0,3,274.0,0.0,2.574210860868532,2.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
22,13535,00218,-2147440892,9,7,3,3,1.0,3.0,2,1.0,3,0,0.0,3,274.0,0.0,2.574210860868532,2.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
23,13535,00262,-2147440892,7,7,2,2,1.0,1.0,1,0.0,8,0,86.0,7,851.0,0.0,-0.2786520834281365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,13535,00262,-2147440892,7,7,2,2,1.0,1.0,1,0.0,8,0,86.0,7,851.0,0.0,-0.2786520834281365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,13535,00314,-2147440891,14,5,3,2,1.0,1.0,1,4.5,2,0,0.0,2,517.0,0.0,1.7264700212831876,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26,13535,00316,-2147440892,12,12,2,6,3.0,3.0,3,0.0,6,0,16.0,5,152.0,0.0,6.619254749647422,3.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
27,13535,00316,-2147440892,12,12,2,6,3.0,3.0,3,0.0,6,0,16.0,5,152.0,0.0,6.619254749647422,3.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
28,13535,00421,-2147440893,10,10,2,10,1.0,1.0,1,0.0,8,0,0.0,8,243.0,0.0,5.941757522610475,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,13535,00421,-2147440893,10,10,2,10,1.0,1.0,1,0.0,8,0,0.0,8,243.0,0.0,5.941757522610475,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,13535,00425,-2147440893,7,4,3,6,3.0,5.0,4,1.5,6,0,0.0,6,122.0,0.0,4.224085447411675,4.0,5.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
31,13535,00435,-2147440892,12,12,2,1,2.0,2.0,2,0.0,3,0,3.0,3,547.0,0.0,3.1811259261850706,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
