,index,skclientkey,medid,device_naturalkey,model_index,months_w_removals,100avgdailyusage30,inventoryquantity,dist_eed,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30_norm,inventoryquantity_norm,dist_eed_norm,max_par_level_norm,standardstockwithindispensingdeviceflag_norm,y_df,y_predict,modified_y_predict,modified_y_predict_less_cons,transactionquantity,prediction_cutoff,Dashboard Estimate,modified_y_predict_120,MSE_Dashboard,MAE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,Predicted_to_Actual
0,0,13535,00217,-2147440892,0,14,20.0,10,456.0,12,0,0.1724137931034483,3.5,0.9039735099337748,1.0,0.0,0.0,0.902993500895988,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13535,00217,-2147440892,0,14,20.0,10,456.0,12,0,0.1724137931034483,3.5,0.9039735099337748,1.0,0.0,0.0,0.902993500895988,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,13535,05998,-2147440891,1,6,3.0,20,152.0,20,0,0.5,1.0,2.016393442622951,0.0,0.0,0.0,-19.624999988180853,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,13535,05998,-2147440891,1,6,3.0,20,152.0,20,0,0.5,1.0,2.016393442622951,0.0,0.0,0.0,-19.624999988180853,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,13535,08449,-2147440892,2,6,16.0,10,275.0,10,0,0.375,0.0,1.6143790849673203,0.0,0.0,0.0,4.091729330144164,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0
5,1,13535,08449,-2147440892,2,6,16.0,10,275.0,10,0,0.375,0.0,1.6143790849673203,0.0,0.0,0.0,4.091729330144164,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0
6,0,13535,11292,-2147440893,3,14,0.0,10,2.0,10,0,0.0,1.0,-0.07692307692307693,0.0,0.0,20.0,6.999994270704262,6.0,6.0,10.0,10.0,4.0,6.0,256.0,16.0,196.0,14.0,0.29999998500000075
7,1,13535,11292,-2147440893,3,14,0.0,10,2.0,10,0,0.0,1.0,-0.07692307692307693,0.0,0.0,20.0,6.999994270704262,6.0,6.0,10.0,10.0,4.0,6.0,256.0,16.0,196.0,14.0,0.29999998500000075
8,0,13535,11292,-2147440892,4,20,10.0,8,9.0,10,0,1.0,0.0,0.4,0.0,0.0,8.0,6.989473764405137,6.0,6.0,14.0,14.0,3.0,6.0,25.0,5.0,4.0,2.0,0.7499999062500118
9,1,13535,11292,-2147440892,4,20,10.0,8,9.0,10,0,1.0,0.0,0.4,0.0,0.0,8.0,6.989473764405137,6.0,6.0,14.0,14.0,3.0,6.0,25.0,5.0,4.0,2.0,0.7499999062500118
